Activity,Subject,Average
LAYING,25,0.281587895671642
LAYING,26,0.2730365808625
LAYING,27,0.277264567074468
LAYING,28,0.277532554764398
LAYING,29,0.279111521944767
LAYING,30,0.276305836721932
SITTING,8,0.265556589446927
SITTING,11,0.27658531139557
SITTING,14,0.270184596009288
SITTING,15,0.27821340725
SITTING,16,0.277887440374317
SITTING,17,0.273637590822641
STANDING,17,0.275037981747573
STANDING,19,0.269723487105556
STANDING,21,0.277466525522059
STANDING,22,0.274767690046106
STANDING,23,0.273493254730108
STANDING,25,0.274069916107602
WALKING,2,0.273113115788079
WALKING,4,0.274183111498423
WALKING,9,0.270313841621528
WALKING,10,0.27684847392517
WALKING,12,0.27360872421875
WALKING,13,0.27456972840796
WALKING_DOWNSTAIRS,1,0.272154196428571
WALKING_DOWNSTAIRS,3,0.273428719636364
WALKING_DOWNSTAIRS,5,0.279177960301325
WALKING_DOWNSTAIRS,6,0.272376614181538
WALKING_DOWNSTAIRS,7,0.270211697814935
WALKING_DOWNSTAIRS,8,0.279888894852941
WALKING_UPSTAIRS,1,0.265130137749216
WALKING_UPSTAIRS,13,0.278011397674603
WALKING_UPSTAIRS,18,0.276324152142857
WALKING_UPSTAIRS,20,0.268425757926554
WALKING_UPSTAIRS,24,0.276767046391076
